,CAS_No,SupplementalRecordUI,Agent,Year,Month,Day,Note,Frequency,DescriptorUI,Source,ConceptUI,RegistryNumber,TermUI,ThesaurusID,QualifierUI,PreviousIndexing,CASN1Name,Concept1UI,Concept2UI,DataSource,FileLocator,NameOfSubstance,Synonyms,RelatedRegistryNumber,ClassificationCode,MolecularFormula,DescriptorName,OtherRegistryNumber,FormulaFragment,SuperListName,SuperlistClassCode,InternetLocator,SuperlistLocator,MixtureName,GroupNo,Volume,id
1315,224420,,"Dibenz<i>a</i>,<i>j</i>acridine",2013,,,NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2A,"32, Sup 7, 103",
1316,2244215,,"Potassium dichloro-s-triazinetrione||Potassium dichloroisocyanurate|Potassium dichlorocyanurate|Dichloro-1,3,5-triazine-2,4,6(1H,3H,5H)-trione, potassium salt|Triazine-2,4,6(1H,3H,5H)-trione, 1,3-dichloro-, potassium salt|ACL 59",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,081403
1317,224533,,"Dibenz<i>c</i>,<i>h</i>acridine",2013,,,NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,103,
1318,22454928,,"Methylsulfinyl)-3,5-xylenol||Sulfoxide of phenol of Bayer 37344|Bayer 37344 phenol sulfoxide|Mesurol phenol sulfoxide|Phenol, 3,5-dimethyl-4-(methylsulfinyl)-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,205800
1319,22506532,,"3,9-Dinitrofluoranthene",2014,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"46, 65, 105",
1320,225116,,Benz<i>a</i>acridine,2013,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"32, Sup 7, 103",
1321,225514,,Benz<i>c</i>acridine,2013,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"32, Sup 7, 103",
1322,22571079,,"Hexahydro-4-hydroxy-3,6-dioxo-4-pyridazineacetic acid||Pyridazineacetic acid, hexahydro-4-hydroxy-3,6-dioxo-|Pydanon|Pydanon 4687",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,481300
1323,22571955,,Symphytine,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"31, Sup 7",
1324,226368,,"Dibenz<i>a</i>,<i>h</i>acridine",2013,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"32, Sup 7, 103",
1325,2272119,,"Octadecenoic acid (Z)-, compd with 2-aminoethanol (1:1)|Monoethanolamine oleate|",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,079078
1326,2274740,,"Chlorophenyl 2,4,5-trichlorophenylazosulfide|Chlorfensulphide||Chlorophenyl)thio)(2,4,5-trichlorophenyl)diimide|CPAS|Diimide, ((p-chlorophenyl)thio)(2,4,5-trichlorophenyl)-|Benzenediazo p-chlorophenyl sulfide, 2,4,5-trichloro-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,212300
1327,2275141,,"Diethyl S-(((2,5-dichlorophenyl)thio)methyl)phosphorodithioate|Phenkapton||Dichlorophenyl)thiomethyl O,O-diethyl phosphorodithioate|Phosphorodithioic acid, S-(((2,5-dichlorophenyl)thio)methyl) O,O-diethyl ester",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,335300
1328,2275185,,"Diethyl phosphorodithioate, S-ester of N-isopropyl-2-mercaptoacetamide|Prothoate||Phosphorodithioic acid, O,O-diethyl S-(2-((1-methylethyl)amino)-2-oxoethyl) ester|Phosphorodithioic acid, O,O-diethyl ester S-ester with N-isopropyl-2-mercaptoacetamide|Acetamide, N-isopropyl-2-mercapto-, S-ester with O,O-diethyl phosphorodithioate|Isopropyl((diethyldithio)phosphoryl)acetamide|Monoisopropylamide of O,O-diethyl(dithiophosphoryl)acetic acid|Diethyl S-(N-isopropylcarbamoylmethyl) phosphorodithioate|Diethyl S-(2-(1-methylethyl)amino-2-oxoethyl) phosphorodithioate|Diethyldithiophosphorylacetic acid, N-monoisopropylamide|AC 18682|ENT 24,652|Fac|Fac 20|Fostion|L 343|Oleofac|Telefos|Trimethoate",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,344300
1329,2275232,,"Dimethyl S-(2-((1-methylcarbamoyl)ethyl)thio)ethyl) phosphorothioate|Vamidothion||Dimethyl phosphorothioate, S-ester with 2-((2-mercaptoethyl)thio)-N-methylpropionamide|Phosphorothioic acid, O,O-dimethyl S-(2-((1-methyl-2-(methylamino)-2-oxoethyl)thio)ethyl) ester|Trucidor|Kilval|Vamidoate|RP 9895",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,379200
1330,22769682,,"Hydroxy-2-benzimidazolecarbamic acid, methyl ester||HBC|Carbamic acid, (5-hydroxy-1H-benzimidazol-2-yl)-, methyl ester|Hydroxy MBC",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,600051
1331,22781233,,"Bendiocarb ( 2,2-dimethyl-1,3-benzoldioxol-4-yl methylcarbamate )|Bendiocarb (ANSI)||Dimethyl-1,3-benzodioxol-4-yl methylcarbamate|Isopropylidenedioxy)phenyl N-methylcarbamate|Carbamic acid, methyl-, 2,3-(dimethylmethylenedioxy)-phenyl ester|Benzodioxole, 2,2-dimethyl-4-(N-methylaminocarboxylato)-|Benzodioxol-4-ol, 2,2-dimethyl-, methylcarbamate|Carbamic acid, methyl-, 2,3-(isopropylidenedioxy)phenyl ester|Ficam|NC-6897|Dycarb|Ficam D|Ficam Plus|Ficam W|Ficam ULV|Garvox|Multamat|Niomil|Seedox|Tattoo|Turcam",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,105201
1332,2279643,,"Phenylmercuri) urea||Mercury, phenylureido-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,599100
1333,2282340,,"Methylbutyl)phenyl methylcarbamate|Bufencarb, component of (with 059301)||Carbamic acid, methyl-, 3-(1-methylbutyl)phenyl ester|Methylbutyl)phenyl methylcarbamate|Bux, component of (with 059301)|Compound 5353, component of (with 059301)|Metalkamate, component of (with 059301)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,059302
1334,22894479,,"Phenylmercuric formamide||Formamidato-N)phenylmercury|Phenylmercurio)formamide|Mercury, (formamidato-N)phenyl-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,066010
1335,22936750,,"Dimethylpropyl)-N-ethyl-6-(methylthio)-1,3,5-triazine-2,4-diamine|Dimethametryn||Methylthio)-4-(ethylamino)-6-((1,2-dimethylpropyl)amino)-s-triazine|Triazine, 2-((1,2-dimethylpropyl)amino)-4-(ethylamino)-6-(methylthio)-|Triazine-2,4-diamine, N-(1,2-dimethylpropyl)-N-ethyl-6-(methylthio)-|Belclene 310|C 18898",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,080815
1336,22936863,,"Chloro-4-(cyclopropylamino)-6-(isopropylamino)-s-triazine|Cyprazine (ANSI)||Triazine-2,4-diamine, 6-chloro-N-cyclopropyl-N-(1-methylethyl)-|Triazine, 2-chloro-4-(cyclopropylamino)-6-(isopropylamino)-|Outfox|Prefox, component of (with 103701)|S 9115",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,100401
1337,22966796,,Oestradiol mustard,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"9, Sup 7",
1338,22975764,,"4,4-Dimethylangelicin plus ultraviolet A radiation",1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,Sup 7,
1339,2300665,,"Dimethylamine 3,6-dichloro-o-anisate|Dicamba, dimethylamine salt||Dichloro-o-anisic acid, dimethylamine salt|Benzoic acid, 3,6-dichloro-2-methoxy-, compd with N-methylmethanamine (1:1)|Banvel K, component of (with 030019)|Banvel M, component of (with 030019)|Mondak, component of (with 030501)|Banvel CST",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,029802
1340,2302172,,"Methyl sulfanilylcarbamate, sodium salt|Sodium asulam||Carbamic acid, ((4-aminophenyl)sulfonyl)-, methyl ester, monosodium salt|Asulox, sodium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,106902
1341,23031369,,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(2-methyl-1-propenyl)-, 2-methyl-4-oxo-3-(2-propynyl)-2-cyclopenten-1-yl ester|Prallethrin||Methyl-4-oxo-3-(2-propynyl)cyclopent-2-enyl (1R)-cis,trans-chrysanthemate|S 4068|ETOC|MGK Concentrate 2593|Escort flea & tick spray for cats, kittens and puppies (128722+069005+057001+067501)|SF",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,128722
1342,2303164,,"Diallate, Dichloroallyl) diisopropylthiocarbamate|Diallate||Carbamothioic acid, bis(1-methylethyl)-, S-(2,3-dichloro-2-propenyl) ester|Carbamic acid, diisopropylthio-, S-(2,3-dichloroallyl) ester|Bis(1-methylethyl) carbamothioic acid, S-(2,3-dichloro-2-propenyl) ester|Dichloroallyl diisopropylthiocarbamate|Diisopropylthiocarbamic acid, S-(2,3-dichloroallyl) ester|DATC|Propene-1-thiol, 2,3-dichloro-, diisopropylcarbamate|Dichloro-2-propene-1-thiol, diisopropylcarbamate|Dichloroallyl diisopropylthiolcarbamate|Dichloroallyl N,N-diisopropylthiolcarbamate|DCDT|Avadex|CP 15336",1987,,,,,,,,,,,,,,,,"List_of_Classifications.xls, PPIS/chemname.zip",,,,,,,,,,,,,,,3,"30, Sup 7",078801
1343,2303175,,"Trichloroallyl) diisopropylthiocarbamate|Triallate||Carbamothioic acid, bis(1-methylethyl)-, S-(2,3,3-trichloro-2-propenyl) ester|Carbamic acid, diisopropylthio-, S-(2,3,3-trichloroallyl) ester|Avadex BW|Far-Go|CP 23426",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,078802
1344,2307495,,"Trichloro-o-anisic acid|Tricamba (ANSI)||Methoxy-3,5,6-trichlorobenzoic acid|Benzoic acid, 3,5,6-trichloro-2-methoxy-|Banvel T|Metriben",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,017301
1345,2307553,,"Ammonium 2,4-dichlorophenoxyacetate||Acetic acid, (2,4-dichlorophenoxy)-, ammonium salt|Dichlorophenoxy)acetic acid, ammonium salt|Ammonium 2,4-D|Phenoxyacetic acid, 2,4-dichloro-, ammonium salt|2,4-D, amine salt|2,4-D, ammonium salt|Dichlorophenoxyacetic acid, amine salt|Dichlorophenoxyacetic acid, ammonium salt|Aminopielik|Bladex G",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,030005
1346,2307688,,Chloro-2-methyl-p-valerotoluidide|Solan||Chloro-4-methylphenyl)-2-methylpentamide|Pentanochlor|CMMP|NIA 4512|Dakuron,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,020901
1347,2310170,,"Diethyl S-((6-chloro-2-oxobenzoxazolin-3-yl)methyl) phosphorodithioate|Phosalone (ANSI)||Chloro-2-oxo-3(2H)-benzoxazolyl)methyl) O,O-diethyl phosphordithioate|Diethyl S-(6-chloro-3-(mercaptomethyl)-2-benzoxazolinone) phosphorodithioate|Chloro-3-(mercaptomethyl)-2-benzoxazolinone) O,O-diethyl phosphorodithioate|Phosphorodithioic acid, S-((6-chloro-3-(mercaptomethyl)-2-benzoxazolinone) O,O-diethyl ester|Zolone|RP 11974",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,097701
1348,23103982,,"Dimethylamino-5,6-dimethyl-4-pyrimidinyl dimethylcarbamate|Pirimicarb (ANSI)||Dimethylamino-5,6-dimethylpryimidin-4-yl N,N-dimethylcarbamate|Carbamic acid, dimethyl-, 2-(dimethylamino)-5,6-dimethyl-4-pyrimidinyl ester|Pirimor|PP 062|Pirimicarb technical",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,106101
1349,23121995,,"Chlorprocarb||Chloromethyl)propyl)-3-((methoxycarbonyl)amino)phenyl carbamate|Chloromethylpropyl)carbamic acid m-carbomethoxyaminophenyl ester|Carbamic acid, (1-(chloromethyl)propyl)-, ester with methyl m-hydroxycarbanilate|Carbanilic acid, m-hydroxy- methyl ester, (1-(chloromethyl)propyl)carbamate (ester)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,296200
1350,2312358,,"Butylphenoxy)cyclohexyl 2-propynyl sulfite|Propargite (ANSI)||Dimethylethyl)phenoxy)cyclohexyl 2-propynyl sulfite|Sulfurous acid, 2-(4-(1,1-dimethylethyl)phenoxy)cyclohexyl 2-propynyl ester|Sulfurous acid, 2-(p-tert-butylphenoxy)cyclohexyl 2-propynyl ester|Omite|Uniroyal D-014|Comite|Omite Glycol Ether (OGE) --(degradate of Propargite) (CAS 1942-71-8)",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,097601
1351,2312734,,"Phenylmethyl)-9-(tetrahydro-2H-pyran-2-yl)-9H-purin-6-amine||Benzyl-9-(tetrahydro-2H-pyran-2-yl)adenine|Purin-6-amine, N-(phenylmethyl)-9-(tetrahydro-2H-pyran-2-yl)-|Adenine, N-benzyl-9-(tetrahydro-2H-pyran-2-yl)-|Accel|SD 8339",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,110001
1352,2312767,,"Sodium 4,6-dinitro-o-cresylate||Dinitro-o-cresol, sodium salt|Methyl-4,6-dinitrophenol sodium salt|Phenol, 2-methyl-4,6-dinitro-, sodium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,037508
1353,23135220,,"Oxamimidic acid, N,N-dimethyl-N-((methylcarbamoyl)oxy)-1-thio-, methyl ester|Oxamyl (ANSI)||Methyl N,N-dimethyl-N-((methylcarbamoyl)oxy)-1-thiooxamimidate|Dimethylamino-1-(methylthio)glyoxal O-methylcarbamoylmonoxime|Carbamic acid, methyl-, O-((((dimethylcarbamoyl)methylthio)methylene)amino) deriv.|Ethanimidothioic acid, 2-(dimethylamino)-N-(((methylamino)carbonyl)oxy)-2-oxo-, methyl ester|Vydate|DPX 1410|Thioxamyl|DuPont 1410|Dioxamyl|D-1410",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,103801
1354,2314092,,"Butyl 9-hydroxyfluorene-9-carboxylate|Flurecol-n-butyl ester||Flurenol-n-butyl ester|Fluorene-9-carboxylic acid, 9-hydroxy-, butyl ester|Hydroxyfluorene-9-carboxylic acid butyl ester|Aniten",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,230300
1355,2315404,,Cetyl picolinium bromide||Hexadecyl-4-methyl pyridinium bromide,,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,169147
1356,2318185,,Senkirkine,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"31, Sup 7",
1357,23184669,,"Butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)acetamide|Butachlor (ANSI)||Chloro-2,6-diethyl-N-(butoxymethyl)acetanalide|Butoxymethyl)-2-chloro-2,6-diethylacetanilide|Acetanilide, 2-chloro-2,6-diethyl-N-(butoxymethyl)-|Acetamide, N-(butoxymethyl)-2-chloro-N-(2,6-diethylphenyl)-|Machete|Butanex|Butanox|CP 53619|Lambast|Rasayanchlor|Pillarset|Hiltachlor",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,112301
1358,23214928,,Adriamycin,1987,,,NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2A,"10, Sup 7",
1359,2321531,,"Monoammonium methanearsonate|MAMA||Methanearsonic acid, monoammonium salt|Arsonic acid, methyl-, monoammonium salt|Ansar 157",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,013808
1360,23246960,,Riddelliine,2002,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,2B,"10, Sup 7, 82",
1361,23255938,,Hycanthone mesylate,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"13, Sup 7",
1362,23267585,,"Hydroxy-5-quinolinyl)ethonone sulfate (2:1) salt||Ethanone, 1-(8-hydroxy-5-quinolinyl)-, sulfate (salt)|Ketone, 8-hydroxy-5-quinolyl methyl, sulfate (salt)|Aceto-8-hydroxyquinoline sulfate|Acetyl-8-hydroxyquinoline sulfate|Geigy 20072",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,496300
1363,2328316,,"Dichlorobenzyl methylcarbamate||Dichlorobenzenemethanol, N-methylcarbamate|Benzenemethanol, 2,3-dichloro-, methylcarbamate|Sirmate, component of (with 298200)|Rowmate, component of|UC 22463, component of",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,298202
1364,23319666,,"Phenylmercuritriethanolammonium lactate||Nitrilotris(ethanol)-N,O,O,O"",)phenylmercury (1+), salt with 2-hydroxypropanoic acid (1:1)|Tris(2-Hydroxyethyl)(phenylmercurio)ammonium lactate|Mercury(1+), (2,2,2""-nitrilotris(ethanol)-N,O,O,O"") phenyl-, salt with lactic acid",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,066021
1365,23422539,,"Dimethylamino)methylene)amino)phenyl-N-methylcarbamate, hydrochloride|Formetanate hydrochloride||Carbamic acid, methyl-, ester with N-(m-hydroxyphenyl)-N,N-dimethylformamidine, hydrochloride|Dimethyl-N-(((methylamino)carbonyl)oxy)phenylmethanimideamide monohydrochloride|Carzol|Dicarzol|ENT 27566|EP-332|SN 36056",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,097301
1366,23505411,,"Diethyl O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) phosphorothioate|Pirimiphos-ethyl (ANSI)||Diethylamino)-6-methyl-4-pyrimidinyl) O,O-diethyl phosphorothioate|Phosphorothioic acid, O-(2-(diethylamino)-6-methyl-4-pyrimidinyl) O,O-diethyl ester|Pyrimidinol, 2-(diethylamino)-6-methyl-, O-ester with O,O-diethyl phosphorothioate|Primicid|Fernex|PP 211|Pirimifosethyl|Primotec",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,108101
1367,23526025,,"Thuringiensin|Beta-Exotoxin of Bacillus thuringiensis||Allaric acid, 2-O-alpha-D-glucopyranosyl-4-(dihydrogen phosphate), 4,5-anhydride with adenosine|Thuringiensin A|ABG-6146|Thurintox|Dibeta",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,006404
1368,2353459,,Fast Green FCF,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"16, Sup 7",
1369,23537168,,Rugulosin,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"40, Sup 7",
1370,23560590,,"Chlorobicyclo(3.2.0)hepta-1,4-dien-4-yl dimethyl phosphate|Heptenophos||Chlorobicyclo(3.2.0)hepta-1,4-dien-4-yl dimethyl phosphorate|Dimethylphosphoryl)-5-chlorobicyclo(3,2,0)hepta-1,4-diene|Chlorobicyclo(3.2.0)hepta-2,6-dien-6-yl dimethylphosphate|Phosphoric acid, (7-chlorobicyclo(3.2.0)hepta-2,6-dien-6-yl) dimethyl ester|Ragadan|HOE 2982|Hostaquick",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,215600
1371,23564058,,"Dimethyl ((1,2-phenylene)bis(iminocarbonothioyl))bis(carbamate)|Thiophanate-methyl (ANSI)||Dimethyl 4,4-o-phenylenebis(3-thioallophanate)|Bis(3-(methoxycarbonyl)-2-thioureido)benzene|Methyl thiophanate|Carbamic acid, (1,2-phenylenebis(iminocarbonothioyl))bis-, dimethyl ester|Topsin M|Cercobin M|Thiophanate M|Banrot, component of (with 084701)|Fungo|TD-1771|NF-44|Enovit Methyl",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,102001
1372,23564069,,"Diethyl 4,4-o-phenylenebis(3-thioallophanate)|Thiophanate||Bis(3-(ethoxycarbonyl)-2-thioureido)benzene|Thiophanate-ethyl|Diethyl ((1,2-phenylene)bis(iminocarbonothioyl))bis(carbamate)|Topsin|Cercobin|Clearys 3336",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,103401
1373,23576230,,"Chloro-5-(dimethylamino)-2-(alpha,alpha,alpha-trifluoro-m-tolyl)-3(2H)-pyridazinone|Metflurazone||Pyridazinone, 4-chloro-5-(dimethylamino)-2-(3-(trifluoromethyl)phenyl)-|SAN-6706|Sansone 6706",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,288300
1374,23710761,,"Isovaleryl-1,3-indandione, calcium salt||Calcium 2-isovaleryl-1,3-indandione|Indandione, 2-isovaleryl-, ion(1-), calcium|Indene-1,3(2H)-dione, 2-(3-methyl-1-oxobutyl)-, ion(1-), calcium|Valone, calcium salt|PMP, calcium salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,067706
1375,2372829,,"Propanediamine, N-(3-aminopropyl)-N-dodecyl- (CAS NAME)||Dodecylamine, N,N-bis(3-aminopropyl)- (CAS NAME)|Lonzabac 12|Bis(3-aminopropyl)laurylamine",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,067300
1376,23746341,,Potassium bis(2-hydroxyethyl)dithiocarbamate,1987,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"12, Sup 7",
1377,2385855,,"Mirex, Dodecachlorooctahydro-1,3,4-metheno-1H-cyclobuta(cd)pentalene|Mirex||Metheno-1H-cyclobuta(cd)pentalene, 1,1a,2,2,3,3a,4,5,5,5a,5b,6-dodecachlorooctahydro-|Cyclopentadiene, 1,2,3,4,5,5-hexachloro-, dimer|Perchloropentacyclo(5.2.1.02,6.03,9.05,8)decane|Dechlorane|ENT-25719|Ferriamicide",1987,,,,,,,,,,,,,,,,"List_of_Classifications.xls, PPIS/chemname.zip",,,,,,,,,,,,,,,2B,"20, Sup 7",039201
1378,2386905,,"Bis(2,3-epoxycyclopentyl)ether ",1999,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"47, 71",
1379,2388401,,"Oleylamine 2,4-dichlorophenoxyacetate||Acetic acid, (2,4-dichlorophenoxy)-, compd. with (Z)-9-Octadecenylamine (1:1)|Dichlorophenoxyacetic acid with (Z)-9-octadecenylamine|Dichlorophenoxyacetic acid, oleylamine salt|2,4-D, oleylamine salt",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,030031
1380,238846,,Benzo<i>a</i>fluorene,2010,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,"92, Sup 7",
1381,239350,,"Benzo<i>b</i>naphtho2,1-dthiophene",2013,,,,,,,,,,,,,,,,List_of_Classifications.xls,,,,,,,,,,,,,,,3,103,
1382,23947606,,"Butyl-2-(ethylamino)-4-hydroxy-6-methylpyrimidine|Ethirimol||Pyrimidinone, 5-butyl-2-(ethylamino)-6-methyl-|Pyrimidinone, 5-butyl-2-(ethylamino)-6-methyl-|Milstem Seed Dressing|PP 149|ETH 560",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,228900
1383,23950,,nan,,,,nan,,,nan,,,,,,,,,,chemid.xml,"nan, MEDLINE, MESH, TOXLINE",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
1384,23950585,,"Propyzamide||Dichloro-N-(1,1-dimethyl-2-propynyl)benzamide|Dimethylpropynyl)-3,5-dichlorobenzamide|Benzamide, 3,5-dichloro-N-(1,1-dimethyl-2-propynyl)- (8CI, 9CI)|Kerb|Pronamide|RH-315",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,101701
1385,2398961,,"Methyl(3-methylphenyl)carbamothioic acid O-2-naphthalenyl ester|Tolnaftate||Naphthyl m,N-dimethylthiocarbanilate|Dimethylthiocarbanilic acid O-2-naphthyl ester|Naphthyl N-methyl-N-(3-tolyl)thionocarbamate|Carbamothioic acid, methyl(3-methylphenyl)-, O-2-naphthalenyl ester|Carbanilic acid, m,N-dimethylthio-, O-2-naphthyl ester|Tinactin",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,122901
1386,24017478,,"Diethyl O-(1-phenyl-1H-1,2,4-triazol-3-yl) phosphorothioate|Triazophos||Phenyl-1,2,4-triazolyl-3-(O,O-diethylthionophosphate)|Phosphorothioic acid, O,O-diethyl O-(1-phenyl-1H-1,2,4-triazol-3-yl) ester|Phenyl-3-(O,O-diethylthionophosphoryl)-1,2,4-triazole|HOE 002960|Hostathion|HOE 2960 OJ",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,344600
1387,240494706,,"Cyclopropanecarboxylic acid, 2,2-dimethyl-3-(1-propenyl)-, 2,3,5,6- tetrafluoro-4-(methoxymethyl)phenylmethyl ester (CAS NAME)|Metofluthrin (ISO)|",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,109709
1388,24124252,,"Tributyltin linoleate||Stannane, tributyl((1-oxo-9,12-octadecadienyl)oxy)-, (Z,Z)-",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,083109
1389,24157811,,"Naphthalene,2,6-bis(1-methylethyl)- (9CI) ( CA INDEX NAME)||Naphthalene, 2,6-diisopropyl- (6CI, 8CI)|Diisopropylnaphthalene|DIPN",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,055803
1390,24201589,,"Dichlorophenyl)-5,5-dimethyl-2,4-oxazolidinedione|Dichlozoline||Oxazolidinedione, 3-(3,4-dichlorophenyl)-5,5-dimethyl-|DDOD|Sclex",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,328200
1391,2425050,,"Chloro-4-phenyl-3H-1,2-dithiol-3-one||Dithiol-3-one, 5-chloro-4-phenyl-|H 3944|He 3944|Hercules 3944|Hercules 3944X",,,,,,,,,,,,,,,,,PPIS/chemname.zip,,,,,,,,,,,,,,,,,207300
1392,2425061,,"Captafol, Captafol (isomer unspec.)|",1991,,,NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data,,,,,,,,,,,,,"List_of_Classifications.xls, PPIS/chemname.zip",,,,,,,,,,,,,,,2A,53,081702
